model,corpus,language,topic_id,automatic_label,human_label,topic_label,label_status,label_notes,prevalence,document_count,top_words,top_ngrams,representative_titles,coherence,diversity,stability,is_outlier
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,16,democrtica · democratic · democracy · gesto,,democrtica · democratic · democracy · gesto,pending,,1.0082,22,democrtica | democratic | democracy | gesto | gestin democrtica | democratic management | gesto democrtica | democracia | mato | grosso,gestin democrtica | democratic management | gesto democrtica,GESTÃO DEMOCRÁTICA NO ESTADO DE MATO GROSSO: conquista ameaçada pela implantação de políticas educacionais conservadoras | GESTÃO ESCOLAR E A DEMOCRACIA: CONCEPÇÕES E PRÁTICAS DA EQUIPE ESCOLAR DO ENSINO FUNDAMENTAL I | GESTÃO DEMOCRÁTICA: uma reflexão a partir da percepção dos gestores escolares,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,17,ambiental · waste · environmental · wa,,ambiental · waste · environmental · wa,pending,,1.0082,22,ambiental | waste | environmental | wa | senior high schools | wa municipality | schools within | desarrollo sostenible | municipality | sostenible,senior high schools | wa municipality | schools within | desarrollo sostenible,"Educación para el desarrollo sostenible ¿Cuánto saben los jóvenes sobre temas ambientales? Estudio de caso en Lujan, Argentina | WASTE DISPOSAL MANAGEMENT PRACTICES IN SELECTED SENIOR HIGH SCHOOLS WITHIN THE WA MUNICIPALITY OF GHANA | IMPLICATIONS OF POOR WASTE DISPOSAL MANAGEMENT PRACTICES ON SENIOR HIGH SCHOOLS WITHIN THE WA MUNICIPALITY OF GHANA",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,18,black · racism · race · racial,,black · racism · race · racial,pending,,0.9624,21,black | racism | race | racial | antiracist | white | critical race | privilege | race theory | critical race theory,critical race | race theory | critical race theory,"Black Educational Leadership : From Silencing to Authenticity | “Unbroken, but Bent”: Gendered Racism in School Leadership | “We Don’t Got Time for Grumbling”: Toward an Ethic of Radical Care in Urban School Leadership",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,19,system · management system · school management system · information,,system · management system · school management system · information,pending,,0.9166,20,system | management system | school management system | information | management information | application | information system | management information system | web | engineering,management system | school management system | management information | information system | management information system,"Designing and Implementing e-School Systems: An Information Systems Approach to School Management of a Community College in Northern Mindanao, Philippines | Integration of School Management Systems Using a Centralized Database (ISMSCD) | Implementation of School Management Information Systems at Vocational School State I Tomohon",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,20,calidad · calidad educativa · strategic planning · strategic,,calidad · calidad educativa · strategic planning · strategic,pending,,0.8708,19,calidad | calidad educativa | strategic planning | strategic | calidad educacin | rendimiento acadmico | estrategias gestin educativa | educational quality | resourceconstrained | society,calidad educativa | strategic planning | calidad educacin | rendimiento acadmico | estrategias gestin educativa | educational quality,La gestión escolar para el mejoramiento de la calidad educativa en la escuela Emilio Carranza | Strategic Planning in Increasing Quality of Education | Education Is A Key Tool In The Development Of Society And Educational Leadership And Is A Key Element For Effective School And Education,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,21,calidad · calidad servicio · calidad educativa · gestin escolar calidad,,calidad · calidad servicio · calidad educativa · gestin escolar calidad,pending,,0.8708,19,calidad | calidad servicio | calidad educativa | gestin escolar calidad | escolar calidad | servicio | calidad servicio educativo | servicio educativo | educativa calidad | ptsmc,calidad servicio | calidad educativa | gestin escolar calidad | escolar calidad | calidad servicio educativo | servicio educativo | educativa calidad,"Gestión escolar en la calidad del servicio educativo en una institución pública de Breña, 2023 | Calidad educativa en la gestión escolar docente de tres instituciones educativas públicas de Tarma Junín 2024 | Gestión Educativa y Calidad Educativa con Directivos, Docentes y Administrativos de una Institución Pública De Sullana 2025",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,22,muslim · islamic · ethical · leadership,,muslim · islamic · ethical · leadership,pending,,0.8249,18,muslim | islamic | ethical | leadership | educational leadership | islamic school | secular | beliefs | educational | country,educational leadership | islamic school,An Islamic-oriented educational leadership model: towards a new theory of school leadership in Muslim societies | Redefining Leadership: The Role of Spirituality and Motherhood in Muslim Women’s Educational Leadership | A call to re-explore Islamic-based educational leadership through new lenses,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,23,callao · instituciones educativas pblicas · educativas pblicas · responsabilidad social,,callao · instituciones educativas pblicas · educativas pblicas · responsabilidad social,pending,,0.8249,18,callao | instituciones educativas pblicas | educativas pblicas | responsabilidad social | pblicas | objetivo desarrollo sostenible | objetivo desarrollo | desarrollo sostenible | polticas pblicas educativas | pblicas educativas,instituciones educativas pblicas | educativas pblicas | responsabilidad social | objetivo desarrollo sostenible | objetivo desarrollo | desarrollo sostenible | polticas pblicas educativas | pblicas educativas,"Gestión escolar y toma de decisiones en una institución educativa Callao, 2023 | Gestión escolar y desempeño docente en Instituciones Educativas Públicas, Lima - Santa Anita 2024 | Liderazgo transformacional y gestión educativa en una institución educativa pública UGEL 04, Comas 2025",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,24,pandemia · ncds · mendoza · tiempos pandemia,,pandemia · ncds · mendoza · tiempos pandemia,pending,,0.7333,16,pandemia | ncds | mendoza | tiempos pandemia | postpandemia | desafos gestin | malestar | pandemic | trajectories | tiempos,tiempos pandemia | desafos gestin,"Los desafíos de la gestión directiva en pandemia como claves para pensar la configuración desigual del sistema educativo del nivel secundario en CABA | Representaciones docentes sobre las trayectorias estudiantiles en el nivel secundario durante la pandemia: “desenganche”, vínculo pedagógico y modos de evaluación | Computables: sujetos y prácticas emergentes en tiempos de pandemia en Mendoza",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,25,academic performance · grants · county · tanzania,,academic performance · grants · county · tanzania,pending,,0.7333,16,academic performance | grants | county | tanzania | academic | students academic | students academic performance | head teachers | head | pupils,academic performance | students academic | students academic performance | head teachers,"The Role of School Management Team in Managing Students’ Academic Performance in Community Secondary Schools in Tabora Municipality- Tanzania | Influence of stakeholders participation in primary school management on academic performance: the case of Uringu division, Meru county, Kenya | Effectiveness of Heads of Schools Management of Capitation Grants for Service Delivery in Public Secondary Schools in Hai District, Tanzania",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,26,mxico · x0d · agentes educativos · educativos sobre,,mxico · x0d · agentes educativos · educativos sobre,pending,,0.7333,16,mxico | x0d | agentes educativos | educativos sobre | nueva | artculo investigacin | mexicana | educativo | liderazgo | liderazgo educativo,agentes educativos | educativos sobre | artculo investigacin | liderazgo educativo,"Cartografía, una herramienta para interpretar el liderazgo escolar. Estudio de caso Brasil | Cartografía, una herramienta para interpretar el liderazgo escolar. Estudio de caso Brasil | Gestión educativa, convivencia y distribución del conocimiento",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,27,innovacin · estrategias · entrepreneurship education · innovadoras,,innovacin · estrategias · entrepreneurship education · innovadoras,pending,,0.7333,16,innovacin | estrategias | entrepreneurship education | innovadoras | innovacin gestin | emprendedor | gestin conocimiento | siglo xxi | entrepreneurship | innovacin educativa,entrepreneurship education | innovacin gestin | gestin conocimiento | siglo xxi | innovacin educativa,Clasificación de Estrategias de Gestión del Conocimiento para impulsar la innovación educativa en Instituciones de Educación Superior (Classification of Knowledge Management Strategies in order to enhance educational innovation in Higher Education Institutions) | Reform of the Practice Teaching System of Entrepreneurship Education Based on 5G Fog Computing in Colleges and Universities | La escuela técnica y la pasantía en empresas: Aspectos generales sobre su puesta en acto y sus efectos en las expectativas laborales de los alumnos,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,28,director · curriculum implementation · multigrado · director escolar,,director · curriculum implementation · multigrado · director escolar,pending,,0.6874,15,director | curriculum implementation | multigrado | director escolar | buenas prcticas | educativas especiales | necesidades educativas especiales | buenas | alumnado | liderazgo pedaggico,curriculum implementation | director escolar | buenas prcticas | educativas especiales | necesidades educativas especiales | liderazgo pedaggico,De estudiante a director: realidades que se viven en las escuelas multigrado | Funciones técnico docente y administrativas del director de multigrado y la repercusión en el desarrollo de competencias del alumno | Liderazgo y Dirección Escolar para Atender al Alumnado con Necesidades Educativas Especiales,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,29,prcticas inclusivas · inclusivas · inclusin · inclusiva,,prcticas inclusivas · inclusivas · inclusin · inclusiva,pending,,0.6874,15,prcticas inclusivas | inclusivas | inclusin | inclusiva | educacin inclusiva | ndice inclusin | inclusiva desde | educacin inclusiva desde | prcticas | flexibilizacin,prcticas inclusivas | educacin inclusiva | ndice inclusin | inclusiva desde | educacin inclusiva desde,"The discursive axes of inclusive education to mitigate school discrimination: a documentary review | Gestión educativa para la inclusión: Perfil personal y profesional de las personas directoras de escuelas primarias en Costa Rica | Managing Staff Diversity for Effective Secondary School Management in Delta State, Nigeria",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,30,directivo · rs · directivo gestin educativa · liderazgo directivo,,directivo · rs · directivo gestin educativa · liderazgo directivo,pending,,0.6874,15,directivo | rs | directivo gestin educativa | liderazgo directivo | ayacucho | directivo gestin | desempeo directivo | tiene nivel | gestin educativa instituciones | desempeo directivo gestin,directivo gestin educativa | liderazgo directivo | directivo gestin | desempeo directivo | tiene nivel | gestin educativa instituciones | desempeo directivo gestin,"Clima organizacional y desempeño docente en instituciones educativas de la Unidad Gestión Educativa Local, Huánuco - 2017 | Liderazgo directivo en la gestión escolar de una institución educativa de Ayacucho, 2024 | Gestión educativa y liderazgo directivo en Instituciones Educativas del Distrito de Tamburco, 2023",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,31,inteligencia emocional · emotional · emocional · ei,,inteligencia emocional · emotional · emocional · ei,pending,,0.6874,15,inteligencia emocional | emotional | emocional | ei | emotional intelligence | inteligencia | emotions | inteligencia emocional gestin | emocional gestin | intelligence,inteligencia emocional | emotional intelligence | inteligencia emocional gestin | emocional gestin,Leading with/in emotion states: The criticality of political subjects and policy debates in educational leadership on emotions | The Influence of Emotional Intelligence in Educational Leadership and School Climate | Exploring the Role of Emotional Intelligence in Educational Leadership,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,32,ecuador · estrategias gestin · gestin educativa eficiente · educativa eficiente,,ecuador · estrategias gestin · gestin educativa eficiente · educativa eficiente,pending,,0.6874,15,ecuador | estrategias gestin | gestin educativa eficiente | educativa eficiente | estrategias gestin educativa | educativas ecuador | norma | eficiente | education centers | early,estrategias gestin | gestin educativa eficiente | educativa eficiente | estrategias gestin educativa | educativas ecuador | education centers,"Estrategias de Gestión Escolar y su Influencia en la Efectividad del Desempeño Docente en Ecuador | “Presupuestos para el efectivo ejercicio de participación, a través del consejo de participación ciudadana y control social del Ecuador”. | School management in early education centers in Ecuador",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,33,figuras · narrativas · lenguaje · comprensin lectora,,figuras · narrativas · lenguaje · comprensin lectora,pending,,0.6874,15,figuras | narrativas | lenguaje | comprensin lectora | lectora | figures | mg | narrative | educadoras | lingsticas,comprensin lectora,A contribuição da Metodologia das Produções Narrativas para a compreensão dos processos educativos desenvolvidos por educadoras de uma escola do campo do município de Carangola - MG | Alfabetización y lectoescritura en tiempos de reestructuración curricular: trabajo articulado entre dirección escolar y alfabetizadores en una escuela pública de São Paulo | Directio narrans: figuras retóricas en épocas de ¿crisis de la narración?. Un estudio sobre las prácticas de directoras/es escolares en el conurbano bonaerense,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,34,compromisos gestin escolar · compromisos gestin · compromisos · trujillo,,compromisos gestin escolar · compromisos gestin · compromisos · trujillo,pending,,0.6416,14,compromisos gestin escolar | compromisos gestin | compromisos | trujillo | educativa desempeo docente | docente institucin educativa | gestin educativa desempeo | educativa desempeo | docente institucin | educacin valores,compromisos gestin escolar | compromisos gestin | educativa desempeo docente | docente institucin educativa | gestin educativa desempeo | educativa desempeo | docente institucin | educacin valores,"Competencias directivas en la gestión escolar de la Red 20, Los Olivos, 2023 | Gestión escolar y competencias del docente en las IE, Urb. Previ - Callao Norte, 2024 | Compromisos de gestión escolar y desempeño docente en una institución educativa de Bagua Grande",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,35,desempeo docente · desempeo · clima institucional · autoestima,,desempeo docente · desempeo · clima institucional · autoestima,pending,,0.55,12,desempeo docente | desempeo | clima institucional | autoestima | ambientes | ambientes aprendizaje | docente | educativa desempeo docente | clima institucional desempeo | cep,desempeo docente | clima institucional | ambientes aprendizaje | educativa desempeo docente | clima institucional desempeo,"Estrategias de mejora para fortalecer la gestión escolar y la creación de ambientes de aprendizaje | Autoestima y desempeño docente en una institución educativa pública, El Agustino 2025 | Gestión educativa y desempeño docente en instituciones educativas inclusivas de primaria",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,36,administrativa gestin · administrativa · gestin administrativa · gerenciales,,administrativa gestin · administrativa · gestin administrativa · gerenciales,pending,,0.55,12,administrativa gestin | administrativa | gestin administrativa | gerenciales | habilidades gerenciales | administracin | praxis | dimensin administrativa | gerencial | modelamiento,administrativa gestin | gestin administrativa | habilidades gerenciales | dimensin administrativa,Gestión administrativa y praxis gerencial en las instituciones educativas | Systematic literature review on organisational culture and strategic management in the public sector and school management | Dimensiones comparativas de la gestión administrativa y la gestión educativa,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,37,corrupcin · per · desastres · neuqun,,corrupcin · per · desastres · neuqun,pending,,0.55,12,corrupcin | per | desastres | neuqun | impactos | educativa per | institutos | gobiernos | educacin | participacin ciudadana,educativa per | participacin ciudadana,"Problemáticas Persistentes de la Gestión Escolar en Colombia: Ausencia de Liderazgo Pedagógico | El CUValles y la investigación sobre procesos socioeducativos, un esbozo del estado del arte | Corporaciones, petróleo y educación en Neuquén. El caso de Pan American Energy",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,38,disabilities · discapacidad · students disabilities · mild,,disabilities · discapacidad · students disabilities · mild,pending,,0.55,12,disabilities | discapacidad | students disabilities | mild | especiales | estudiantes discapacidad | inclusive | necesidades educativas especiales | educativas especiales | visual,students disabilities | estudiantes discapacidad | necesidades educativas especiales | educativas especiales,"Políticas públicas y gestión escolar: estudiantes con discapacidad visual, dos escuelas en Taguatinga-DF, Brasil | Breaking Barriers: The Influence of Teachers’ Attitudes on Inclusive Education for Students with Mild Learning Disabilities (MLDs) | Barriers and facilitators to participation in physical activity for students with disabilities in an integrated school setting: a meta-synthesis of qualitative research evidence",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,39,smc · smcs · school management committee · management committee,,smc · smcs · school management committee · management committee,pending,,0.55,12,smc | smcs | school management committee | management committee | school management committees | committees | management committees | committee | smc members | nepal,school management committee | management committee | school management committees | management committees | smc members,The Role of School Management Committees and Head teacher’s Effectiveness in Government-Aided Primary Schools in Luweero District – Uganda | A Systematic Review of the Role of School Management Committee for the School Performance in Nepal | A STUDY OF SCHOOL MANAGEMENT COMMITTEE: CHALLENGES AND SOLUTIONS,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,40,simon · bogot · asistencia tcnica · eficiencia,,simon · bogot · asistencia tcnica · eficiencia,pending,,0.5041,11,simon | bogot | asistencia tcnica | eficiencia | tcnica | mejoramiento | asistencia | jorge | magdalena | desercin escolar,asistencia tcnica | desercin escolar,Número Completo (Febrero) | Análisis Correlacional entre los Planes de Mejoramiento Institucional y la Gestión Educativa en Instituciones Colombianas | Gestión administrativa y deserción escolar en la institución educativa San Lorenzo de Suaza Huila periodo 2014-2019,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,41,desigualdades · latinoamericana · amrica latina · amrica,,desigualdades · latinoamericana · amrica latina · amrica,pending,,0.4583,10,desigualdades | latinoamericana | amrica latina | amrica | sociedades democrticas | latina | latinoamrica | educacin bsica | brechas | regin,amrica latina | sociedades democrticas | educacin bsica,Las desigualdades educativas en Argentina | Gestión Educativa y Convivencia Escolar en Contextos Latinoamericanos: Una Revisión Sistemática | Calidad del servicio educativo en escuelas del nivel secundaria en Latinoamérica: una revisión narrativa,,,,False
