document_id,publication_document_id,model,corpus,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,outlier_probability,suggested_topic,reassignment_method,reassignment_confidence,silhouette,distance_to_centroid,local_consistency
doi:10.1123/jtpe.2019-0158,doi:10.1123/jtpe.2019-0158,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.00769464507459109,38,0.007273179211155908,0.00042146586343518207,True,True,2020,en,Barriers to Implementation of Physical Activity in Danish Public Schools,10.1123/jtpe.2019-0158,OpenAlex,metadata,-1,-1,False,-1,0.9923053549254089,,,,,,0.7
doi:10.1177/21582440211000053,doi:10.1177/21582440211000053,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.007721581998281086,38,0.007251189689298434,0.000470392308982652,True,True,2021,en,"A Qualitative Exploration of Implementation, Adaptation, and Sustainability of a School-Based Physical Activity Intervention: Move for Well-Being in School",10.1177/21582440211000053,OpenAlex,metadata,-1,-1,False,-1,0.9922784180017189,,,,,,0.7
doi:10.13166/jms/192197,doi:10.13166/jms/192197,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.007907345872756091,36,0.007665908627078279,0.00024143724567781202,True,True,2024,id,Challenges in the school management systems during the war. Polish-ukrainian research,10.13166/jms/192197,OpenAlex,metadata,-1,-1,False,-1,0.9920926541272439,,,,,,1.0
doi:10.38140/pie.v42i2.7801,doi:10.38140/pie.v42i2.7801,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.007959163118565333,39,0.007577619937009585,0.0003815431815557477,True,True,2024,en,The school management team’s role of defining the school vision and mission at a South African rural school,10.38140/pie.v42i2.7801,OpenAlex,metadata,-1,-1,False,-1,0.9920408368814346,,,,,,1.0
doi:10.1080/13603124.2022.2068190,doi:10.1080/13603124.2022.2068190,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.008298958347060606,38,0.006539494206824207,0.0017594641402363994,True,True,2022,en,The research on educational leadership for refugees since 2009: an international systemic review of empirical evidence,10.1080/13603124.2022.2068190,OpenAlex,metadata,-1,-1,False,-1,0.9917010416529394,,,,,,1.0
doi:10.1080/00131911.2022.2066632,doi:10.1080/00131911.2022.2066632,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.008313346912536192,38,0.006549389941138154,0.001763956971398038,True,True,2022,en,Educational leadership and policy studies in refugee education: a systematic review of existing research,10.1080/00131911.2022.2066632,OpenAlex,metadata,-1,-1,False,-1,0.9916866530874638,,,,,,1.0
doi:10.1108/jea-10-2022-0180,doi:10.1108/jea-10-2022-0180,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.008358606086882618,38,0.006582650410030795,0.0017759556768518238,True,True,2023,en,Educational leadership for migrant and refugee education: challenges and dilemmas in the Israeli context,10.1108/jea-10-2022-0180,OpenAlex,metadata,-1,-1,False,-1,0.9916413939131173,,,,,,1.0
doi:10.1177/17411432221136404,doi:10.1177/17411432221136404,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.008392353665887742,38,0.00660319543973339,0.001789158226154352,True,True,2022,en,Post-migration ecology in educational leadership and policy for social justice: Welcoming refugee students in two distinct national contexts,10.1177/17411432221136404,OpenAlex,metadata,-1,-1,False,-1,0.9916076463341122,,,,,,1.0
doi:10.4324/9780429021770,doi:10.4324/9780429021770,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.008442256186565831,38,0.00664038975266344,0.0018018664339023906,True,True,2020,en,School Leadership for Refugees' Education,10.4324/9780429021770,OpenAlex,metadata,-1,-1,False,-1,0.9915577438134342,,,,,,1.0
doi:10.51594/ijmer.v2i3.147,doi:10.51594/ijmer.v2i3.147,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.008831004576545594,21,0.007399142574314804,0.00143186200223079,True,True,2020,en,CONSTRAINTS FACTORS TO MAINTENANCE OF GOVERNMENT SENIOR HIGH SCHOOL BUILDINGS IN WA MUNICIPAL,10.51594/ijmer.v2i3.147,OpenAlex,metadata,-1,-1,False,-1,0.9911689954234544,,,,,,0.3
doi:10.1186/s12889-021-12152-2,doi:10.1186/s12889-021-12152-2,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.008992065942463606,38,0.008108414914455285,0.0008836510280083205,True,True,2021,en,Exploring implementation of a nationwide requirement to increase physical activity in the curriculum in Danish public schools: a mixed methods study,10.1186/s12889-021-12152-2,OpenAlex,metadata,-1,-1,False,-1,0.9910079340575364,,,,,,0.6
doi:10.22347/2175-2753v17i56.5048,doi:10.22347/2175-2753v17i56.5048,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.009661838960159224,35,0.009066252220853045,0.0005955867393061792,True,True,2025,es,Más allá del aula: funciones y prácticas de gestión directiva en escuelas rurales de secundaria,10.22347/2175-2753v17i56.5048,OpenAlex,metadata,-1,-1,False,-1,0.9903381610398407,,,,,,1.0
doi:10.22521/edupij.2025.16.227,doi:10.22521/edupij.2025.16.227,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.009697100345586273,25,0.00865967426077275,0.0010374260848135235,True,True,2025,en,Challenges Faced by School Management Teams in Managing Rural Schools in Three Selected Schools in South Africa,10.22521/edupij.2025.16.227,OpenAlex,metadata,-1,-1,False,-1,0.9903028996544138,,,,,,1.0
doi:10.51594/ijmer.v2i3.148,doi:10.51594/ijmer.v2i3.148,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.010420015958963764,21,0.007808488189408772,0.0026115277695549916,True,True,2020,en,EXAMINATION OF THE CURRENT STATE OF GOVERNMENT BUILDINGS IN SENIOR HIGH SCHOOLS IN WA MUNICIPAL,10.51594/ijmer.v2i3.148,OpenAlex,metadata,-1,-1,False,-1,0.9895799840410362,,,,,,0.2
doi:10.33996/repe.v1i1.16,doi:10.33996/repe.v1i1.16,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01069003184810785,35,0.010071910022013122,0.0006181218260947283,True,True,2020,es,Procesos administrativos en la gestión escolar del director de las instituciones educativas,10.33996/repe.v1i1.16,OpenAlex,metadata,-1,-1,False,-1,0.9893099681518922,,,,,,1.0
record:2cfbf38ac02f77703710ca37,record:2cfbf38ac02f77703710ca37,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.010709758058916625,35,0.010462885182657767,0.00024687287625885755,True,True,2024,es,Acompañamiento pedagógico para fortalecer el logro de aprendizajes del área de ciencias sociales en estudiantes con necesidades educativas especiales,,OpenAlex,metadata,-1,-1,False,-1,0.9892902419410834,,,,,,1.0
doi:10.65050/rfn.v6n1a3,doi:10.65050/rfn.v6n1a3,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.010788002070421854,35,0.010113242914005756,0.0006747591564160976,True,True,2026,es,Análisis de las tareas administrativas de la gestión educativa de los gestores educativos,10.65050/rfn.v6n1a3,OpenAlex,metadata,-1,-1,False,-1,0.9892119979295781,,,,,,1.0
doi:10.29394/scientific.issn.2542-2987.2025.10.e6.1.23-44,doi:10.29394/scientific.issn.2542-2987.2025.10.e6.1.23-44,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01079365505974271,33,0.010525970897203266,0.0002676841625394444,True,True,2025,es,El rol de la Gestión Educativa en la Atención a los Estudiantes con Escolaridad Inconclusa,10.29394/scientific.issn.2542-2987.2025.10.e6.1.23-44,OpenAlex,metadata,-1,-1,False,-1,0.9892063449402573,,,,,,1.0
doi:10.6018/educatio.410081,doi:10.6018/educatio.410081,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.010853258433023729,7,0.008949062658628387,0.0019041957743953421,True,True,2021,es,La dirección escolar ante la participación del alumnado,10.6018/educatio.410081,OpenAlex,metadata,-1,-1,False,-1,0.9891467415669762,,,,,,0.8
doi:10.46794/gacien.8.3.1708,doi:10.46794/gacien.8.3.1708,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.010864868674672411,36,0.009909406716317362,0.0009554619583550493,True,True,2022,es,"Análisis de la gestión administrativa en la Unidad de Gestión Educativa Local N.° 302, Leoncio Prado",10.46794/gacien.8.3.1708,OpenAlex,metadata,-1,-1,False,-1,0.9891351313253276,,,,,,1.0
doi:10.51594/ijmer.v2i3.146,doi:10.51594/ijmer.v2i3.146,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011100387207981597,21,0.007966385771282638,0.003134001436698959,True,True,2020,en,STAKEHOLDERS RESPONSIBILITIES IN PUBLIC SHS BUILDINGS MAINTENANCE PRACTICES IN THE WA MUNICIPALITY,10.51594/ijmer.v2i3.146,OpenAlex,metadata,-1,-1,False,-1,0.9888996127920184,,,,,,0.2
doi:10.53877/vyvzns79,doi:10.53877/vyvzns79,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011128021160612973,34,0.009854306607763529,0.0012737145528494438,True,True,2026,es,La Comunicación Organizacional y la Gestión Directiva,10.53877/vyvzns79,OpenAlex,metadata,-1,-1,False,-1,0.988871978839387,,,,,,1.0
doi:10.62574/rmpi.v4i1.95,doi:10.62574/rmpi.v4i1.95,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011147150664367665,34,0.009878028870740475,0.0012691217936271898,True,True,2024,es,Habilidades directivas y comunicación organizacional interna en organización educativa en contextos desafiantes [Management skills and internal organizational communication in educational organizations in challenging contexts],10.62574/rmpi.v4i1.95,OpenAlex,metadata,-1,-1,False,-1,0.9888528493356323,,,,,,1.0
doi:10.1163/9789004547025_010,doi:10.1163/9789004547025_010,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011151883831560029,35,0.00972319847318766,0.001428685358372369,True,True,2023,en,"Enhancing School Management Teams in Promoting Sustainable, Equitable Resource Allocation in Rural Schools",10.1163/9789004547025_010,OpenAlex,metadata,-1,-1,False,-1,0.9888481161684399,,,,,,1.0
doi:10.35305/revista.vi43.206,doi:10.35305/revista.vi43.206,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011234772091829126,29,0.00995573278877384,0.0012790393030552866,True,True,2022,es,participación de los niños en la gestión escolar:,10.35305/revista.vi43.206,OpenAlex,metadata,-1,-1,False,-1,0.9887652279081709,,,,,,0.8
doi:10.15359/ree.25-3.28,doi:10.15359/ree.25-3.28,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011291850564573939,28,0.009155038326073648,0.002136812238500291,True,True,2021,es,"Prevalencia del síndrome de burnout en la dirección de instituciones educativas públicas en Barrios Altos, Lima - Perú",10.15359/ree.25-3.28,OpenAlex,metadata,-1,-1,False,-1,0.9887081494354261,,,,,,0.6
doi:10.69516/enjfpw30,doi:10.69516/enjfpw30,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011303065876082746,35,0.010698430851240818,0.0006046350248419281,True,True,2024,es,Influencia de la gestión administrativa en el desempeño de los docentes,10.69516/enjfpw30,OpenAlex,metadata,-1,-1,False,-1,0.9886969341239172,,,,,,1.0
doi:10.61368/r.s.d.h.v6i4.864,doi:10.61368/r.s.d.h.v6i4.864,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011313732801716566,35,0.010502046832296899,0.0008116859694196673,True,True,2025,es,Evaluación del Desempeño Directivo y su Impacto en la Calidad Educativa,10.61368/r.s.d.h.v6i4.864,OpenAlex,metadata,-1,-1,False,-1,0.9886862671982835,,,,,,1.0
doi:10.5281/zenodo.4890965,doi:10.5281/zenodo.4890965,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011325751514613614,28,0.009138178842496023,0.0021875726721175912,True,True,2021,es,Prevalencia del síndrome de burnout en la dirección de instituciones educativas públicas en Barrios Altos – Lima,10.5281/zenodo.4890965,OpenAlex,metadata,-1,-1,False,-1,0.9886742484853864,,,,,,0.6
doi:10.23857/pc.v6i1.2182,doi:10.23857/pc.v6i1.2182,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011336228981405468,35,0.009792587884202132,0.0015436410972033358,True,True,2021,en,La función supervisora como proceso complejo en la gestión escolar,10.23857/pc.v6i1.2182,OpenAlex,metadata,-1,-1,False,-1,0.9886637710185945,,,,,,1.0
doi:10.46589/riasf.v1i43.757,doi:10.46589/riasf.v1i43.757,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011378686954841523,34,0.010063979942637327,0.001314707012204196,True,True,2025,es,Comunicación Efectiva: un Elemento Clave en la Gestión Escolar de una Institución Media Superior,10.46589/riasf.v1i43.757,OpenAlex,metadata,-1,-1,False,-1,0.9886213130451584,,,,,,1.0
doi:10.46627/sipose.v5i1.478,doi:10.46627/sipose.v5i1.478,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011381298506842885,7,0.010271561395516129,0.0011097371113267564,True,True,2024,en,Community-Based School Management Model Development in The Digital Era,10.46627/sipose.v5i1.478,OpenAlex,metadata,-1,-1,False,-1,0.9886187014931571,,,,,,1.0
doi:10.69639/arandu.v13i1.2015,doi:10.69639/arandu.v13i1.2015,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011388302926724542,34,0.010088339406078822,0.0012999635206457204,True,True,2026,es,La comunicación asertiva en la gestión educativa institucional,10.69639/arandu.v13i1.2015,OpenAlex,metadata,-1,-1,False,-1,0.9886116970732755,,,,,,1.0
doi:10.55028/dfbv8s36,doi:10.55028/dfbv8s36,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011442904408468615,28,0.011312630143161976,0.00013027426530663917,True,True,2026,en,Gestão e provimento à direção escolar: estado do conhecimento a partir de dissertações de mestrados profissionais (2014-2024),10.55028/dfbv8s36,OpenAlex,metadata,-1,-1,False,-1,0.9885570955915314,,,,,,1.0
doi:10.33996/merito.v1i1.4,doi:10.33996/merito.v1i1.4,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011530603795613431,35,0.00973528060985733,0.0017953231857561012,True,True,2020,es,La supervisión educativa. Funciones gerenciales para garantizar la eficiencia,10.33996/merito.v1i1.4,OpenAlex,metadata,-1,-1,False,-1,0.9884693962043866,,,,,,1.0
record:7564ef46e079b89a3977f12b,record:7564ef46e079b89a3977f12b,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011546907667060576,41,0.008906763929709396,0.0026401437373511794,True,True,2025,en,"Nutritional status of schoolchildren before and after confinement by COVID-19 (2019–2021) in Jujuy, Argentina",,CONICET Digital,metadata,-1,-1,False,-1,0.9884530923329394,,,,,,0.5
record:b60bb032e86d067fc3829cb2,record:b60bb032e86d067fc3829cb2,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011562875198698527,28,0.009440260396097085,0.002122614802601442,True,True,2020,es,Caracterización del perfeccionismo disfuncional en la niñez tardía,,CONICET Digital,metadata,-1,-1,False,-1,0.9884371248013015,,,,,,0.6
doi:10.1016/j.gaceta.2022.102256,doi:10.1016/j.gaceta.2022.102256,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011679409138917364,41,0.008922631139872756,0.0027567779990446076,True,True,2022,en,Evaluation of food intake through residual analysis in 90 Basque school canteens,10.1016/j.gaceta.2022.102256,OpenAlex,metadata,-1,-1,False,-1,0.9883205908610826,,,,,,0.5
doi:10.5281/zenodo.6410248,doi:10.5281/zenodo.6410248,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011707704121084957,8,0.008679356545411717,0.0030283475756732407,True,True,2022,es,La transmodernidad en voz y vestido de mujer,10.5281/zenodo.6410248,OpenAlex,metadata,-1,-1,False,-1,0.9882922958789151,,,,,,0.9
doi:10.33262/concienciadigital.v6i4.2701,doi:10.33262/concienciadigital.v6i4.2701,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011764670917524707,36,0.00973764476701429,0.002027026150510416,True,True,2023,es,Gestión educativa de la recreación infantil para escolares,10.33262/concienciadigital.v6i4.2701,OpenAlex,metadata,-1,-1,False,-1,0.9882353290824752,,,,,,1.0
doi:10.37284/eajes.3.1.304,doi:10.37284/eajes.3.1.304,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011834308820193965,36,0.007767699320695583,0.004066609499498382,True,True,2021,en,"School Management Attitudes as Determinants of Implementation of Guidance and Counselling Services in Secondary Schools in Baringo Central Sub-County, Kenya",10.37284/eajes.3.1.304,OpenAlex,metadata,-1,-1,False,-1,0.988165691179806,,,,,,1.0
doi:10.12775/jehs.2022.12.01.028,doi:10.12775/jehs.2022.12.01.028,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01185958258572532,35,0.009641982538814394,0.002217600046910925,True,True,2022,en,Peculiarities of state-public school management,10.12775/jehs.2022.12.01.028,OpenAlex,metadata,-1,-1,False,-1,0.9881404174142747,,,,,,1.0
doi:10.37811/cl_rcm.v10i3.24669,doi:10.37811/cl_rcm.v10i3.24669,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01186314909923761,35,0.011816434337978608,4.67147612590018e-05,True,True,2026,es,Evaluación de Competencias Directivas como Herramienta para la Mejora de la Calidad Educativa Institucional,10.37811/cl_rcm.v10i3.24669,OpenAlex,metadata,-1,-1,False,-1,0.9881368509007624,,,,,,1.0
doi:10.15517/revedu.v47i1.51724,doi:10.15517/revedu.v47i1.51724,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011921883839261625,41,0.009100226742251567,0.002821657097010058,True,True,2023,es,Alimentación escolar y educación alimentaria: tendencias recientes en la investigación en América Latina entre 2005 y 2021,10.15517/revedu.v47i1.51724,OpenAlex | CONICET Digital,metadata,-1,-1,False,-1,0.9880781161607384,,,,,,0.5
doi:10.29394/scientific.issn.2542-2987.2024.9.e4.8.157-176,doi:10.29394/scientific.issn.2542-2987.2024.9.e4.8.157-176,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01193779119971793,34,0.01050859714287591,0.0014291940568420189,True,True,2024,es,La Comunicación en la Gestión Escolar y su Incidencia en el Clima Laboral de una Unidad Educativa,10.29394/scientific.issn.2542-2987.2024.9.e4.8.157-176,OpenAlex,metadata,-1,-1,False,-1,0.9880622088002821,,,,,,1.0
doi:10.29173/iasl8023,doi:10.29173/iasl8023,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011943524402477246,27,0.011852321574130449,9.12028283467977e-05,True,True,2021,en,School Librarians and Educational Leadership: Productive Pedagogy for the Information Age School,10.29173/iasl8023,OpenAlex,metadata,-1,-1,False,-1,0.9880564755975227,,,,,,1.0
doi:10.1177/00195561221103613,doi:10.1177/00195561221103613,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.011966064067534615,41,0.009107891424279266,0.002858172643255349,True,True,2022,en,Efficacy of Mid-Day Meal Scheme in India: Challenges and Policy Concerns,10.1177/00195561221103613,OpenAlex,metadata,-1,-1,False,-1,0.9880339359324654,,,,,,0.5
doi:10.4314/jae.v26i1.9s,doi:10.4314/jae.v26i1.9s,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012000098522440147,41,0.009057519845962748,0.0029425786764773997,True,True,2022,en,"Food Vendors and School Management Compliance to Home Grown School Feeding Programme Implementation Module in Osun State, Nigeria",10.4314/jae.v26i1.9s,OpenAlex,metadata,-1,-1,False,-1,0.9879999014775599,,,,,,0.5
doi:10.17151/hpsal.2022.27.1.3,doi:10.17151/hpsal.2022.27.1.3,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01221717742979231,28,0.010082137335503236,0.0021350400942890743,True,True,2022,es,"Directores escolares ante el síndrome de burnout: dimensiones, factores de riesgo y sintomatología",10.17151/hpsal.2022.27.1.3,OpenAlex,metadata,-1,-1,False,-1,0.9877828225702077,,,,,,0.6
doi:10.20873/uft.rbec.e10837,doi:10.20873/uft.rbec.e10837,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012231746999826121,7,0.010276144996277969,0.001955602003548152,True,True,2022,pt,Os impasses da participação da comunidade no Conselho Escolar em uma Escola do Campo no Município de Placas/PA,10.20873/uft.rbec.e10837,OpenAlex,metadata,-1,-1,False,-1,0.9877682530001739,,,,,,0.8
doi:10.48169/ecuatesis/0102202012,doi:10.48169/ecuatesis/0102202012,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01224931489460436,2,0.011701986925628278,0.0005473279689760819,True,True,2020,en,Gestión educativa y práctica docente: reflexiones sobre la dimensión investigativa.,10.48169/ecuatesis/0102202012,OpenAlex,metadata,-1,-1,False,-1,0.9877506851053957,,,,,,1.0
record:8b83f11428453adaafac1dce,record:8b83f11428453adaafac1dce,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012249707183473488,0,0.010792215793073141,0.0014574913904003475,True,True,2024,es,"Modelo de estrategias formativas de liderazgo, para la calidad en gestión escolar en una institución educativa, Chiclayo",,OpenAlex,metadata,-1,-1,False,-1,0.9877502928165265,,,,,,1.0
doi:10.14679/3793,doi:10.14679/3793,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012295653426360317,36,0.009702841081479336,0.0025928123448809813,True,True,2025,es,La cultura de la infancia como pilar de la organización escolar,10.14679/3793,OpenAlex,metadata,-1,-1,False,-1,0.9877043465736397,,,,,,1.0
doi:10.37811/cl_rcm.v4i2.164,doi:10.37811/cl_rcm.v4i2.164,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012389161140259976,35,0.011080991605357008,0.0013081695349029688,True,True,2020,es,El Supervisor Educativo como gestor de instituciones de la educación media de la ciudad de Pilar,10.37811/cl_rcm.v4i2.164,OpenAlex,metadata,-1,-1,False,-1,0.98761083885974,,,,,,1.0
record:1d935569f4d5b34a4659f75d,record:1d935569f4d5b34a4659f75d,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01243977012354894,30,0.011630560919285776,0.0008092092042631636,True,True,2025,es,"Taller de liderazgo transformacional y su influencia en la gestión escolar en las instituciones educativas de Casma, 2024",,OpenAlex,metadata,-1,-1,False,-1,0.9875602298764511,,,,,,1.0
doi:10.22325/fes/res.2022.122,doi:10.22325/fes/res.2022.122,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012621677736861202,29,0.008885944285326281,0.0037357334515349203,True,True,2022,es,La segregación escolar en familias inmigradas: clase social y estatus migratorio,10.22325/fes/res.2022.122,OpenAlex,metadata,-1,-1,False,-1,0.9873783222631388,,,,,,1.0
record:a8151e37cad97eb0b618e798,record:a8151e37cad97eb0b618e798,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012660384721827832,36,0.011443511096267867,0.0012168736255599652,True,True,2021,es,La Gestión Escolar de los nuevos directivos escolares de Secundaria. Una propuesta auto-formativa,,OpenAlex,metadata,-1,-1,False,-1,0.9873396152781722,,,,,,1.0
record:43c0a2fdc90ac66d489a9707,record:43c0a2fdc90ac66d489a9707,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012699860159975023,32,0.011534974515029824,0.0011648856449451989,True,True,2020,es,La economía neoliberal asalta la gestión escolar pública,,OpenAlex,metadata,-1,-1,False,-1,0.987300139840025,,,,,,0.9
doi:10.5937/straman2200009j,doi:10.5937/straman2200009j,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.012718515211431004,36,0.011580617783697818,0.0011378974277331862,True,True,2022,en,The role of teacher and organizational culture in school management,10.5937/straman2200009j,OpenAlex,metadata,-1,-1,False,-1,0.987281484788569,,,,,,1.0
doi:10.2478/amns-2025-0528,doi:10.2478/amns-2025-0528,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.01271852283850779,20,0.009382657571693325,0.003335865266814465,True,True,2025,en,A study of the impact of the public management concept on the reform of the modern school management system,10.2478/amns-2025-0528,OpenAlex,metadata,-1,-1,False,-1,0.9872814771614922,,,,,,1.0
