document_id,language,year,source,text_length,has_abstract,relevance_status,hdbscan_outlier_score,nearest_topic,nearest_topic_similarity,second_nearest_topic,similarity_margin,reason_category,original_topic,suggested_topic,reassignment_method,reassignment_confidence,accepted_reassignment
record:fab25d58ab6cd63e64c1f6b3,en,2020,OpenAlex,1732,True,included,0.469878,12,0.838199,3,0.009125,borderline_between_topics,-1,12,nearest_semantic_centroid,0.838199,False
doi:10.15366/riejs2021.10.1.014,es,2021,OpenAlex,1512,True,included,0.466765,3,0.897497,12,0.028023,borderline_between_topics,-1,3,nearest_semantic_centroid,0.897497,False
doi:10.29394/scientific.issn.2542-2987.2024.9.e4.8.157-176,es,2024,OpenAlex,1487,True,included,0.846494,3,0.82825,7,0.000232,borderline_between_topics,-1,3,nearest_semantic_centroid,0.82825,False
doi:10.21573/vol36n12020.95673,es,2020,OpenAlex,760,True,included,0.504095,12,0.817045,3,0.026547,borderline_between_topics,-1,12,nearest_semantic_centroid,0.817045,False
doi:10.31391/s2007-7033(2021)0057-011,es,2021,OpenAlex,1562,True,included,0.507757,3,0.883609,7,0.018386,borderline_between_topics,-1,3,nearest_semantic_centroid,0.883609,False
doi:10.53673/th.v2i3.113,es,2022,OpenAlex,1526,True,included,0.511063,7,0.774878,1,0.035866,borderline_between_topics,-1,7,nearest_semantic_centroid,0.774878,False
doi:10.36737/01230425.n39.2020.2342,es,2020,OpenAlex,614,True,included,0.29595,7,0.84442,3,0.011123,borderline_between_topics,-1,7,nearest_semantic_centroid,0.84442,False
doi:10.15658/rev.electron.educ.pedagog21.11050909,es,2021,OpenAlex,1412,True,included,0.528242,7,0.689358,5,0.026829,borderline_between_topics,-1,7,nearest_semantic_centroid,0.689358,False
doi:10.37811/cl_rcm.v7i2.6016,es,2023,OpenAlex,1063,True,included,0.292158,4,0.8702,3,0.009797,borderline_between_topics,-1,4,nearest_semantic_centroid,0.8702,False
doi:10.35811/rea.v12i1.201,es,2023,OpenAlex,915,True,included,0.67665,7,0.798609,5,0.056001,borderline_between_topics,-1,7,nearest_semantic_centroid,0.798609,False
doi:10.18764/2358-4319.v14n1p15-38,pt,2021,OpenAlex,3389,True,included,0.856461,12,0.864047,3,0.021291,borderline_between_topics,-1,12,nearest_semantic_centroid,0.864047,False
doi:10.29035/ucmaule.63.56,es,2022,OpenAlex,1381,True,included,0.494854,3,0.797138,12,0.022161,borderline_between_topics,-1,3,nearest_semantic_centroid,0.797138,False
doi:10.5209/rced.70275,es,2021,OpenAlex,1423,True,included,0.481282,7,0.817855,10,0.029422,borderline_between_topics,-1,7,nearest_semantic_centroid,0.817855,False
doi:10.15366/riee2022.15.2.002,es,2022,OpenAlex,1328,True,included,0.673804,7,0.803734,5,0.026584,borderline_between_topics,-1,7,nearest_semantic_centroid,0.803734,False
doi:10.37843/rted.v8i2.134,es,2020,OpenAlex,1857,True,included,0.714692,4,0.930559,3,0.012719,borderline_between_topics,-1,4,nearest_semantic_centroid,0.930559,False
doi:10.18764/2358-4319.v13n1p163-182,pt,2020,OpenAlex,3441,True,included,0.717436,5,0.874494,7,0.026457,borderline_between_topics,-1,5,nearest_semantic_centroid,0.874494,False
doi:10.7203/rase.13.1.15765,es,2020,OpenAlex,1499,True,included,0.507757,5,0.787091,3,0.025395,borderline_between_topics,-1,5,nearest_semantic_centroid,0.787091,False
doi:10.48102/rlee.2024.54.3.664,es,2024,OpenAlex,1446,True,included,0.457086,3,0.858547,12,0.045203,borderline_between_topics,-1,3,nearest_semantic_centroid,0.858547,False
doi:10.21703/rexe.20212042ortiz-mallegas11,es,2021,OpenAlex,1928,True,included,0.661706,3,0.868117,10,0.010891,borderline_between_topics,-1,3,nearest_semantic_centroid,0.868117,False
doi:10.37811/cl_rcm.v7i2.5739,es,2023,OpenAlex,2044,True,included,0.504095,3,0.915655,12,0.006591,borderline_between_topics,-1,3,nearest_semantic_centroid,0.915655,False
doi:10.18800/cige2020.011,es,2021,OpenAlex,1258,True,included,0.491158,7,0.901046,6,0.007979,borderline_between_topics,-1,7,nearest_semantic_centroid,0.901046,False
doi:10.18764/2178-2229.v28n1p250-275,pt,2021,OpenAlex,4566,True,included,0.505289,7,0.884402,1,0.021927,borderline_between_topics,-1,7,nearest_semantic_centroid,0.884402,False
doi:10.56712/latam.v6i1.3551,es,2025,OpenAlex,1026,True,included,0.469878,0,0.907918,4,0.027875,borderline_between_topics,-1,0,nearest_semantic_centroid,0.907918,False
doi:10.30827/profesorado.v25i2.18443,es,2021,OpenAlex,1721,True,included,0.519357,7,0.901731,3,0.04144,borderline_between_topics,-1,7,nearest_semantic_centroid,0.901731,False
doi:10.15366/jospoe2020.11.005,es,2020,OpenAlex,1556,True,included,0.491358,12,0.865752,7,0.006929,borderline_between_topics,-1,12,nearest_semantic_centroid,0.865752,False
doi:10.5281/zenodo.6410248,es,2022,OpenAlex,883,True,included,0.839893,7,0.682306,8,0.000948,borderline_between_topics,-1,7,nearest_semantic_centroid,0.682306,False
doi:10.61286/e-rms.v2i.38,es,2024,OpenAlex,1855,True,included,0.83655,10,0.836469,5,0.008962,borderline_between_topics,-1,10,nearest_semantic_centroid,0.836469,False
doi:10.47865/igob.vol7.n25.2024.327,es,2024,OpenAlex,983,True,included,0.509422,3,0.935288,7,0.018385,borderline_between_topics,-1,3,nearest_semantic_centroid,0.935288,False
doi:10.1590/scielopreprints.15420,es,2026,OpenAlex,1314,True,included,0.29595,1,0.903214,7,0.02047,borderline_between_topics,-1,1,nearest_semantic_centroid,0.903214,False
doi:10.33881/2027-1786.rip.13105,es,2020,OpenAlex,1764,True,included,0.507757,10,0.769667,3,0.001163,borderline_between_topics,-1,10,nearest_semantic_centroid,0.769667,False
doi:10.33996/revistahorizontes.v9i38.1038,es,2025,OpenAlex,1021,True,included,0.695663,7,0.747108,1,0.015169,borderline_between_topics,-1,7,nearest_semantic_centroid,0.747108,False
record:e7d9f86053b6eb50d95d7219,es,2020,OpenAlex,1192,True,included,0.515909,4,0.839138,3,0.000285,borderline_between_topics,-1,4,nearest_semantic_centroid,0.839138,False
doi:10.46377/dilemas.v10i3.3667,es,2023,OpenAlex,818,True,included,0.502277,4,0.819324,3,0.002231,borderline_between_topics,-1,4,nearest_semantic_centroid,0.819324,False
doi:10.5281/zenodo.17905633,es,2025,OpenAlex,814,True,included,0.674727,4,0.931831,3,0.011123,borderline_between_topics,-1,4,nearest_semantic_centroid,0.931831,False
doi:10.33386/593dp.2021.2-1.490,es,2021,OpenAlex,2124,True,included,0.525453,7,0.946614,4,0.042281,borderline_between_topics,-1,7,nearest_semantic_centroid,0.946614,False
doi:10.47212/rtcalinin.1.1.4,es,2021,OpenAlex,1797,True,included,0.755171,3,0.780435,7,0.031486,borderline_between_topics,-1,3,nearest_semantic_centroid,0.780435,False
doi:10.37811/cl_rcm.v9i5.20725,es,2025,OpenAlex,1357,True,included,0.6605,7,0.787543,3,0.02246,borderline_between_topics,-1,7,nearest_semantic_centroid,0.787543,False
doi:10.5281/zenodo.6789683,es,2022,OpenAlex,1292,True,included,0.856461,5,0.745871,7,0.007737,borderline_between_topics,-1,5,nearest_semantic_centroid,0.745871,False
doi:10.69516/enjfpw30,es,2024,OpenAlex,1580,True,included,0.683296,4,0.890324,1,0.010266,borderline_between_topics,-1,4,nearest_semantic_centroid,0.890324,False
record:c841fd0d09fbfb9abbac9e38,es,2022,OpenAlex,1031,True,included,0.5008,3,0.823583,4,0.005349,borderline_between_topics,-1,3,nearest_semantic_centroid,0.823583,False
doi:10.5281/zenodo.19206535,es,2025,OpenAlex,1370,True,included,0.479128,1,0.764187,4,0.00271,borderline_between_topics,-1,1,nearest_semantic_centroid,0.764187,False
doi:10.59427/rcli/2023/v23cs.2963-2967,es,2023,OpenAlex,1533,True,included,0.463093,3,0.91867,1,0.016914,borderline_between_topics,-1,3,nearest_semantic_centroid,0.91867,False
doi:10.70577/nn0py871,es,2025,OpenAlex,1607,True,included,0.6605,7,0.834219,1,0.023044,borderline_between_topics,-1,7,nearest_semantic_centroid,0.834219,False
doi:10.22235/pe.v15i1.2139,es,2022,OpenAlex,941,True,included,0.469878,3,0.882515,12,0.006605,borderline_between_topics,-1,3,nearest_semantic_centroid,0.882515,False
doi:10.47865/igob.vol4.2021.118,es,2021,OpenAlex,1731,True,included,0.66357,0,0.812911,7,0.033849,borderline_between_topics,-1,0,nearest_semantic_centroid,0.812911,False
doi:10.29394/scientific.issn.2542-2987.2025.10.e1.3.69-91,es,2025,OpenAlex,1559,True,included,0.507757,3,0.751319,10,0.004481,borderline_between_topics,-1,3,nearest_semantic_centroid,0.751319,False
doi:10.47865/igob.vol6.n22.2023.284,es,2023,OpenAlex,1369,True,included,0.660362,4,0.865528,3,0.022282,borderline_between_topics,-1,4,nearest_semantic_centroid,0.865528,False
doi:10.61303/2735668x.v4i2.99,es,2026,OpenAlex,1213,True,included,0.759766,3,0.841755,4,3e-05,borderline_between_topics,-1,3,nearest_semantic_centroid,0.841755,False
doi:10.65598/rps.5989,es,2026,OpenAlex,1148,True,included,0.446299,7,0.94587,0,0.005175,borderline_between_topics,-1,7,nearest_semantic_centroid,0.94587,False
doi:10.69639/arandu.v11i2.400,es,2024,OpenAlex,1812,True,included,0.287363,1,0.778917,4,0.032727,borderline_between_topics,-1,1,nearest_semantic_centroid,0.778917,False
record:02f0c8b0624d670b9f2dfb1f,es,2020,OpenAlex,1649,True,included,0.469878,0,0.930004,4,0.013558,borderline_between_topics,-1,0,nearest_semantic_centroid,0.930004,False
doi:10.35622/inudi.b.087,es,2023,OpenAlex,1380,True,included,0.673612,7,0.843701,3,0.014816,borderline_between_topics,-1,7,nearest_semantic_centroid,0.843701,False
doi:10.56219/rgp.vi40.918,es,2021,OpenAlex,2744,True,included,0.462458,0,0.926857,7,0.072669,borderline_between_topics,-1,0,nearest_semantic_centroid,0.926857,False
doi:10.60100/bciv.v3i3.120,es,2023,OpenAlex,1623,True,included,0.29595,7,0.876908,4,0.011003,borderline_between_topics,-1,7,nearest_semantic_centroid,0.876908,False
doi:10.56712/latam.v6i5.4761,es,2025,OpenAlex,1652,True,included,0.469878,3,0.871534,4,0.011355,borderline_between_topics,-1,3,nearest_semantic_centroid,0.871534,False
doi:10.30545/academo.2024.may-ago.6,es,2024,OpenAlex,1187,True,included,0.514282,3,0.891435,7,0.019666,borderline_between_topics,-1,3,nearest_semantic_centroid,0.891435,False
doi:10.70577/reg.v4i3.226,es,2025,OpenAlex,2057,True,included,0.699275,7,0.809526,9,0.030093,borderline_between_topics,-1,7,nearest_semantic_centroid,0.809526,False
record:b17eb77951eba8b5fb0e72af,es,2025,OpenAlex,1689,True,included,0.469878,3,0.861456,4,0.001389,borderline_between_topics,-1,3,nearest_semantic_centroid,0.861456,False
doi:10.46589/riasf.v1i43.757,es,2025,OpenAlex,1588,True,included,0.846494,2,0.801133,1,0.027913,borderline_between_topics,-1,2,nearest_semantic_centroid,0.801133,False
doi:10.23913/ride.v12i24.1117,es,2022,OpenAlex,1488,True,included,0.469878,3,0.896151,4,0.000683,borderline_between_topics,-1,3,nearest_semantic_centroid,0.896151,False
doi:10.46652/religacionpress.293.c511,es,2025,OpenAlex,1117,True,included,0.685812,7,0.873562,1,0.031185,borderline_between_topics,-1,7,nearest_semantic_centroid,0.873562,False
doi:10.47606/acven/ph0178,es,2023,OpenAlex,1231,True,included,0.229495,3,0.888502,5,0.016535,borderline_between_topics,-1,3,nearest_semantic_centroid,0.888502,False
doi:10.69639/arandu.v12i3.1507,es,2025,OpenAlex,1644,True,included,0.668645,1,0.926185,7,0.006584,borderline_between_topics,-1,1,nearest_semantic_centroid,0.926185,False
doi:10.61384/r.c.a..v5i1.962,es,2025,OpenAlex,1747,True,included,0.5008,0,0.84013,7,0.009314,borderline_between_topics,-1,0,nearest_semantic_centroid,0.84013,False
doi:10.15517/revedu.v47i2.53991,es,2023,OpenAlex,1647,True,included,0.477213,3,0.864907,4,0.024492,borderline_between_topics,-1,3,nearest_semantic_centroid,0.864907,False
doi:10.70577/k39cds93,es,2025,OpenAlex,1778,True,included,0.5008,3,0.841238,7,0.038885,borderline_between_topics,-1,3,nearest_semantic_centroid,0.841238,False
doi:10.70747/cr.v4i3.506,es,2025,OpenAlex,1704,True,included,0.446252,7,0.898623,0,0.001272,borderline_between_topics,-1,7,nearest_semantic_centroid,0.898623,False
doi:10.69516/xq65fj12,es,2023,OpenAlex,1615,True,included,0.493292,1,0.899029,4,0.021423,borderline_between_topics,-1,1,nearest_semantic_centroid,0.899029,False
doi:10.47865/igob.vol6.n24.2023.307,es,2023,OpenAlex,1705,True,included,0.480141,4,0.927436,7,0.013454,borderline_between_topics,-1,4,nearest_semantic_centroid,0.927436,False
doi:10.37594/dialogus.v1i16.1821,es,2025,OpenAlex,1752,True,included,0.722573,3,0.910082,4,0.017259,borderline_between_topics,-1,3,nearest_semantic_centroid,0.910082,False
doi:10.59427/rcli/2023/v23cs.3717-3724,es,2023,OpenAlex,1570,True,included,0.665365,4,0.922349,3,0.020961,borderline_between_topics,-1,4,nearest_semantic_centroid,0.922349,False
doi:10.47865/igob.vol7.n26.2024.341,es,2024,OpenAlex,1729,True,included,0.517262,4,0.890747,3,0.019358,borderline_between_topics,-1,4,nearest_semantic_centroid,0.890747,False
doi:10.47606/acven/ph0022,es,2021,OpenAlex,1705,True,included,0.458671,3,0.932587,10,0.030472,borderline_between_topics,-1,3,nearest_semantic_centroid,0.932587,False
doi:10.56712/latam.v5i1.1609,es,2024,OpenAlex,1729,True,included,0.497726,4,0.826391,7,8.4e-05,borderline_between_topics,-1,4,nearest_semantic_centroid,0.826391,False
doi:10.47554/cii.vol14.2023.pp114-125,es,2024,OpenAlex,1723,True,included,0.29595,1,0.847267,4,0.012424,borderline_between_topics,-1,1,nearest_semantic_centroid,0.847267,False
doi:10.56712/latam.v5i5.2944,es,2024,OpenAlex,1824,True,included,0.806031,1,0.815813,13,0.003498,borderline_between_topics,-1,1,nearest_semantic_centroid,0.815813,False
doi:10.52080/rvgluz.30.especial14.45,es,2025,OpenAlex,1095,True,included,0.482591,4,0.890763,3,0.019221,borderline_between_topics,-1,4,nearest_semantic_centroid,0.890763,False
doi:10.18634/doctrabajo/75,es,2020,OpenAlex,1636,True,included,0.670364,1,0.893788,3,0.021084,borderline_between_topics,-1,1,nearest_semantic_centroid,0.893788,False
doi:10.56219/afc.v18i1.4808,es,2026,OpenAlex,1341,True,included,0.445099,7,0.919537,1,0.00425,borderline_between_topics,-1,7,nearest_semantic_centroid,0.919537,False
doi:10.5281/zenodo.8307068,es,2023,OpenAlex,1703,True,included,0.266442,4,0.830237,7,0.003936,borderline_between_topics,-1,4,nearest_semantic_centroid,0.830237,False
doi:10.37811/cl_rcm.v8i1.9621,es,2024,OpenAlex,1291,True,included,0.856461,3,0.844059,12,0.013516,borderline_between_topics,-1,3,nearest_semantic_centroid,0.844059,False
record:c90c82b4e7f2a30f17a2ed4f,es,2025,OpenAlex,1365,True,included,0.321323,4,0.91292,0,0.012475,borderline_between_topics,-1,4,nearest_semantic_centroid,0.91292,False
record:43c0a2fdc90ac66d489a9707,es,2020,OpenAlex,1791,True,included,0.520192,7,0.765702,12,0.015161,borderline_between_topics,-1,7,nearest_semantic_centroid,0.765702,False
record:cc8533d2319d4dfbf9d1870e,es,2022,OpenAlex,1723,True,included,0.661624,4,0.87481,0,0.007773,borderline_between_topics,-1,4,nearest_semantic_centroid,0.87481,False
doi:10.18800/cige2020,es,2021,OpenAlex,87,False,included,0.667676,1,0.878794,7,0.023291,short_or_incomplete_text,-1,1,nearest_semantic_centroid,0.878794,False
doi:10.63415/saga.v2i2.67,es,2025,OpenAlex,1354,True,included,0.321264,4,0.889073,3,0.007069,borderline_between_topics,-1,4,nearest_semantic_centroid,0.889073,False
doi:10.15443/tde1002,es,2024,OpenAlex,961,True,included,0.29595,7,0.873049,5,0.02271,borderline_between_topics,-1,7,nearest_semantic_centroid,0.873049,False
doi:10.58995/redlic.rmic.v3.n3.a179,en,2025,OpenAlex,1314,True,included,0.456207,1,0.8282,7,0.007393,borderline_between_topics,-1,1,nearest_semantic_centroid,0.8282,False
doi:10.69821/constellations.v5i1.160,en,2026,OpenAlex,1419,True,included,0.710319,0,0.850815,1,0.017345,borderline_between_topics,-1,0,nearest_semantic_centroid,0.850815,False
doi:10.23857/pc.v6i1.2182,en,2021,OpenAlex,1322,True,included,0.683296,0,0.819092,7,0.02159,borderline_between_topics,-1,0,nearest_semantic_centroid,0.819092,False
doi:10.24054/face.v23i1.2450,es,2023,OpenAlex,1395,True,included,0.502277,3,0.786917,4,0.051213,borderline_between_topics,-1,3,nearest_semantic_centroid,0.786917,False
doi:10.48102/rlee.2025.55.2.709,es,2025,OpenAlex,1440,True,included,0.488901,1,0.785563,7,0.000323,borderline_between_topics,-1,1,nearest_semantic_centroid,0.785563,False
doi:10.53485/rsu.v4i3.186,en,2021,OpenAlex,1529,True,included,0.469878,0,0.852355,3,0.016347,borderline_between_topics,-1,0,nearest_semantic_centroid,0.852355,False
record:ac17dae244a7ab05002e770a,pt,2023,OpenAlex,1257,True,included,0.461193,3,0.870362,4,0.01752,borderline_between_topics,-1,3,nearest_semantic_centroid,0.870362,False
doi:10.33996/franztamayo.v3i6.312,es,2021,OpenAlex,1235,True,included,0.73374,3,0.84544,7,0.003859,borderline_between_topics,-1,3,nearest_semantic_centroid,0.84544,False
record:f20004c30e61b5641eb71a19,es,2024,OpenAlex,314,True,included,0.66386,2,0.628858,4,0.021825,borderline_between_topics,-1,2,nearest_semantic_centroid,0.628858,False
doi:10.7764/tesisuc/edu/29423,es,2020,OpenAlex,122,False,included,0.502623,7,0.717592,5,0.043579,short_or_incomplete_text,-1,7,nearest_semantic_centroid,0.717592,False
doi:10.19136/etie.a5n9.5057,en,2022,OpenAlex,1485,True,included,0.465557,7,0.80108,3,0.026583,borderline_between_topics,-1,7,nearest_semantic_centroid,0.80108,False
record:a8151e37cad97eb0b618e798,es,2021,OpenAlex,1159,True,included,0.734537,1,0.880201,4,0.008133,borderline_between_topics,-1,1,nearest_semantic_centroid,0.880201,False
record:9f7ce1d295c412061c163c33,es,2020,OpenAlex,256,True,included,0.736008,12,0.847828,3,0.023695,borderline_between_topics,-1,12,nearest_semantic_centroid,0.847828,False
record:9e6b279c3690576201ad6ee8,es,2020,OpenAlex,273,True,included,0.744293,12,0.834755,3,0.01037,borderline_between_topics,-1,12,nearest_semantic_centroid,0.834755,False
record:fc9eb4bd5bfb5604865cd2d2,es,2020,OpenAlex,268,True,included,0.856461,3,0.820282,12,0.002554,borderline_between_topics,-1,3,nearest_semantic_centroid,0.820282,False
record:247553b963eebb6c3bfa63f0,es,2022,OpenAlex,304,True,included,0.735262,12,0.817457,3,0.032037,borderline_between_topics,-1,12,nearest_semantic_centroid,0.817457,False
doi:10.15381/rpiiedu.v4i1.26747,en,2024,OpenAlex,1312,True,included,0.473283,7,0.858368,1,0.018382,borderline_between_topics,-1,7,nearest_semantic_centroid,0.858368,False
doi:10.70747/cr.v4i1.161,es,2025,OpenAlex,1847,True,included,0.482376,7,0.882259,3,0.009216,borderline_between_topics,-1,7,nearest_semantic_centroid,0.882259,False
doi:10.17081/eduhum.28.50.8331,es,2026,OpenAlex,1607,True,included,0.524266,3,0.842637,5,0.023774,borderline_between_topics,-1,3,nearest_semantic_centroid,0.842637,False
record:3a7d056d2a66b8e58dd41a05,en,2020,OpenAlex,3510,True,included,0.256488,4,0.885943,12,0.006988,borderline_between_topics,-1,4,nearest_semantic_centroid,0.885943,False
doi:10.22347/2175-2753v17i56.5048,es,2025,OpenAlex,954,True,included,0.818079,4,0.900676,1,0.003308,borderline_between_topics,-1,4,nearest_semantic_centroid,0.900676,False
doi:10.47460/uct.v24i106.397,es,2020,OpenAlex,4850,True,included,0.838674,7,0.519819,9,0.013722,unknown,-1,7,nearest_semantic_centroid,0.519819,False
record:d514726be166d020bc11356b,es,2021,OpenAlex,317,True,included,0.498968,4,0.574505,3,0.011016,borderline_between_topics,-1,4,nearest_semantic_centroid,0.574505,False
doi:10.30554/p.e.35.1.5623.2026,es,2026,OpenAlex,2456,True,included,0.65982,3,0.821285,5,0.007965,borderline_between_topics,-1,3,nearest_semantic_centroid,0.821285,False
record:6ad99baf47beffad06cadb6f,es,2024,OpenAlex,206,True,included,0.661706,5,0.695012,7,0.000121,borderline_between_topics,-1,5,nearest_semantic_centroid,0.695012,False
doi:10.30972/riie.16228046,es,2024,OpenAlex,1605,True,included,0.447848,7,0.860446,12,0.02146,borderline_between_topics,-1,7,nearest_semantic_centroid,0.860446,False
record:ba36ee5ce3bce064c3e305e2,es,2021,OpenAlex,3164,True,included,0.481889,1,0.923792,3,0.004057,borderline_between_topics,-1,1,nearest_semantic_centroid,0.923792,False
doi:10.17605/osf.io/9536p,es,2025,OpenAlex,1339,True,included,0.29595,1,0.889457,7,0.008907,borderline_between_topics,-1,1,nearest_semantic_centroid,0.889457,False
doi:10.18764/2178-2229.v28n1p276-302,pt,2021,OpenAlex,4645,True,included,0.507757,5,0.837369,3,0.018162,borderline_between_topics,-1,5,nearest_semantic_centroid,0.837369,False
record:022a3bc2c2538a364c3faeca,es,2020,OpenAlex,183,False,included,0.666893,13,0.801892,4,0.024741,short_or_incomplete_text,-1,13,nearest_semantic_centroid,0.801892,False
record:23398ea37fdc77598005813c,es,2020,OpenAlex,1445,True,included,0.474025,3,0.90817,4,0.012517,borderline_between_topics,-1,3,nearest_semantic_centroid,0.90817,False
doi:10.7764/tesisuc/edu/64477,es,2024,OpenAlex,1119,True,included,0.671439,7,0.852975,4,0.001902,borderline_between_topics,-1,7,nearest_semantic_centroid,0.852975,False
doi:10.18800/cige2020.010,es,2021,OpenAlex,1376,True,included,0.687274,7,0.901497,1,0.027542,borderline_between_topics,-1,7,nearest_semantic_centroid,0.901497,False
