model,topic_id,topic_label,automatic_label,human_label,label_status,prevalence,document_count,top_words,top_ngrams,representative_titles,coherence,diversity,stability,is_outlier
stm,1,núm · atribución · okul · için,núm · atribución · okul · için,,pending,1.1609,9,núm | atribución | okul | için | caos | öğretmenlerin | morin | bir | inca | negocios | analítica | yönetim | cusco | complejidad | págs,,"Investigation of Teachers' Views on Their Participation in School Management | LA INTELIGENCIA DE NEGOCIOS Y LA ANALÍTICA DE DATOS IMPULSANDO EL DESARROLLO ACADÉMICO | Teoría del caos y calidad de gestión institucional en un instituto de educación superior peruano | Female Directors' Perspective To School Management In Basic Education | Competencia docente en matemática, ciencia y tecnología al resolver un problema de contexto con el complejo arqueológico inca de Raqchi, Cusco – Perú",,,NA,FALSE
stm,12,boarding · pesantren · quran · gontor,boarding · pesantren · quran · gontor,,pending,1.084,6,boarding | pesantren | quran | gontor | bengkulu | santri | moderation | pondok | islamic | religious | kyai | kiai | tahfidz | darul | prophet,,Revitalization of Islamic Boarding School Management to Foster the Spirit of Islamic Moderation in Indonesia | Islamic Boarding School Management: A Comprehensive Analysis of a Special Program for Fostering Students' Disciplinary Character in Madrasah Ibtidaiyah | International Islamic Boarding School Strategy for Realizing Superior Islamic Boarding School Management | Model of Educational Leadership Management in Boarding Schools | ENHANCING MORAL INTEGRITY: ISLAMIC EDUCATION'S ROLE IN FOSTERING SUPERIOR CHARACTER WITHIN ISLAMIC BOARDING SCHOOL MANAGEMENT,,,NA,FALSE
stm,13,nursing · wales · emergency · medical,nursing · wales · emergency · medical,,pending,2.6155,22,nursing | wales | emergency | medical | disabled | depression | yes | plos | stress | adolescents | cognitive | pmid | anxiety | ireland | bmc,,"Psychological Impact of COVID-19 on College Students After School Reopening: A Cross-Sectional Study Based on Machine Learning | Association of parental rearing styles with suicidal ideation in Chinese adolescent patients with depression: a large-scale cross-sectional study | Sources of stress, coping strategies and associated factors among Vietnamese first-year medical students | A citizen science study of short physical activity breaks at school: improvements in cognition and wellbeing with self-paced activity | Built Environments And Child Health in WalEs and AuStralia (BEACHES): a study protocol",,,NA,FALSE
stm,14,koinonia · auditoría · depósito · coro,koinonia · auditoría · depósito · coro,,pending,3.3514,26,koinonia | auditoría | depósito | coro | corrupción | contabilidad | presupuesto | arbitrada | fundación | fiscales | honduras | venezuela | tributaria | impuestos | financiera,,"Modelo de gestión presupuestal para mejorar la defensa jurídica en el Gobierno Regional de San Martín | Análisis de la implementación de medidas para la vigilancia, prevención y control de COVID- 19 en la Unidad de Gestión Educativa Local Ventanilla, 2020 | Análisis del Control de Tesorería del SIAF-SP en la UGEL Nauta-Perú | La práctica de la ética y el derecho laboral de los trabajadores | Número  Completo (Febrero)",,,NA,FALSE
stm,15,igobernanza · transformacional · directivo · líder,igobernanza · transformacional · directivo · líder,,pending,16.7725,165,igobernanza | transformacional | directivo | líder | liderazgo | estratégica | autoevaluación | gerenciales | villa | misión | piedra | puente | metas | planificación | escalante,,Componentes de la gestión educativa aplicables por el equipo directivo | Influencia de la evaluación del desempeño directivo y su efectividad en la gestión pública de la educación escolar | El liderazgo transformacional en la gestión educativa: | Planificación estratégica situacional en la gestión escolar de las instituciones educativas | La gestión escolar: una revisión de las investigaciones,,,NA,FALSE
stm,16,women · abusive · women’s · racism,women · abusive · women’s · racism,,pending,4.5112,45,women | abusive | women’s | racism | positions | womens | discrimination | dilemmas | gendered | superintendents | feminist | black | stereotypes | equality | men,,"“Unbroken, but Bent”: Gendered Racism in School Leadership | Journal of Women in Educational Leadership | Educational Leadership and Social Justice: 4.0 | Marianismo and the changing role of Latinas in educational leadership | The Paucity of Female Educational Leadership in Politically Volatile Context of Zimbabwe",,,NA,FALSE
stm,17,bullying · konseling · keputusan · partisipatif,bullying · konseling · keputusan · partisipatif,,pending,1.276,10,bullying | konseling | keputusan | partisipatif | mutu | bimbingan | pencegahan | pelaksanaan | tindakan | kebijakan | pengambilan | staf | kepala | warga | efektif,,Manajemen Peningkatan Mutu Berbasis Sekolah | IMPLEMENTASI LANDASAN PENDIDIKAN DALAM MENGOPTIMALKAN PERAN GURU DAN MANAJEMEN SEKOLAH DALAM MENCEGAH PERILAKU BULLYING | Peran Kepemimpinan Kepala Sekolah Terhadap Mutu Pendidikan | Problematika Layanan Bimbingan dan Konseling di Sekolah | Peran Pendidik dalam Meningkatkan Manajemen Sekolah pada Masa Pandemi,,,NA,FALSE
stm,18,coeficiente · bilateral · hipótesis · spearman,coeficiente · bilateral · hipótesis · spearman,,pending,6.78,61,coeficiente | bilateral | hipótesis | spearman | rho | correlación | significancia | ítems | moderada | compromisos | prueba | estadísticamente | nula | ítem | satisfacción,,"Índice de competencias de profesionalización para la gestión educativa (COPROGE): proceso de validación | Gestión educativa y calidad de locales escolares –UGEL San Martín, 2021 | Influencia de la gestión administrativa en el desempeño de los docentes | Gestión educativa y satisfacción laboral docente en instituciones educativas de la región Ayacucho, Perú | Compromiso académico estudiantil en tiempos de COVID-19: desafíos y oportunidades para la enseñanza en línea",,,NA,FALSE
stm,19,smc · parent · smcs · financial,smc · parent · smcs · financial,,pending,4.7506,39,smc | parent | smcs | financial | overcrowded | africa | cybersecurity | private | parental | participation | involvement | grants | controls | head | schools’,,Pre and post assessment of school management committee: A case study of Sindh | EVALUATION OF SCHOOL MANAGEMENT COMMITTEE (SMC) ON QUALITY OF EDUCATION: A CASE OF SINDH | Personnel Management and School Productivity: Evidence from India | The Association Between Parent Participation in School Management and Student Achievement in Eight Countries and Economies | Transparency and Accountability of Managing School Financial Resources,,,NA,FALSE
stm,20,privatización · indígenas · indígena · aires,privatización · indígenas · indígena · aires,,pending,10.8698,103,privatización | indígenas | indígena | aires | discursos | mujeres | establecimientos | nosotros | riie | buenos | chileno | pei | córdoba | pueblos | establecimiento,,"Política, género y formación: las críticas al normalismo en su período de expansión (1884-1920) | participación de los niños en la gestión escolar: | «Una aspiración que asusta» | Filosofía de Paulo Freire como urgencia en tiempos de dolor y desprecio a la vida | Hacia una genealogía de la experiencia: La gestión escolar en una escuela de creación (2009-2015)",,,NA,FALSE
stm,21,latam · paraguay · asunción · indtec,latam · paraguay · asunción · indtec,,pending,6.4646,50,latam | paraguay | asunción | indtec | isni | pág | bachillerato | arbitrado | montúfar | ricardo | tut | latinoamericana | acompañamiento | activas | reg,,Gestión Educativa Emocional para el Desempeño Docente del Bachillerato de la Unidad Educativa 12 de Febrero | Gestión Educativa para Optimizar el Clima Laboral en la Escuela de Educación Básica Mahatma Gandhi | El rol de la Gestión Educativa en la Atención a los Estudiantes con Escolaridad Inconclusa | La Gestión Educativa y su Incidencia en el Proceso de Enseñanza Aprendizaje en Bachillerato | Acompañamiento Socioemocional como Apoyo a la Gestión Escolar Frente a Entornos de Violencia,,,NA,FALSE
stm,22,rvgluz · atribución-compartirigual · rica · mep,rvgluz · atribución-compartirigual · rica · mep,,pending,1.4866,10,rvgluz | atribución-compartirigual | rica | mep | síndrome | educare | twitter | mindfulness | costa | delimitadas | confinamiento | maslach | educareunaaccr | educareunacr | autorizaciones,,"Prevalencia del síndrome de burnout en la dirección de instituciones educativas públicas en Barrios Altos, Lima - Perú | Ruta de la gestión educativa del CIDE ante el contexto COVID-19 | Gestión educativa para la inclusión: Perfil personal y profesional de las personas directoras de escuelas primarias en Costa Rica | Proceso profesionalizante: Una intervención en enseñanza superior | Burnout en docentes de instituciones educativas del régimen Costa del Ecuador",,,NA,FALSE
